epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,749.552,0.66923,0.51389,2.28068,0.99605,1,0.995,0.82683,0.66913,0.40803,2.14224,0.001604,0.001604,0.001604
62,761.397,0.67093,0.53896,2.35231,0.99297,1,0.995,0.82044,0.64225,0.41795,2.1182,0.0015974,0.0015974,0.0015974
63,773.496,0.65613,0.52357,2.17133,0.9895,1,0.995,0.83453,0.63828,0.40426,2.15124,0.0015908,0.0015908,0.0015908
64,785.09,0.75219,0.58278,2.28815,0.99472,1,0.995,0.87846,0.55885,0.40245,2.14012,0.0015842,0.0015842,0.0015842
65,796.831,0.67462,0.51811,2.23312,0.99604,1,0.995,0.86153,0.58889,0.37623,2.08076,0.0015776,0.0015776,0.0015776
66,809.14,0.67537,0.57592,2.31036,0.99617,1,0.995,0.8893,0.54757,0.33541,2.15372,0.001571,0.001571,0.001571
67,820.873,0.67964,0.54206,2.15936,0.99631,1,0.995,0.80909,0.64887,0.39752,2.14438,0.0015644,0.0015644,0.0015644
68,832.859,0.81841,0.72331,2.43977,0.99485,1,0.995,0.86605,0.5912,0.37712,2.15288,0.0015578,0.0015578,0.0015578
69,844.615,0.65719,0.57591,2.22855,0.99592,1,0.995,0.88222,0.51971,0.32879,2.14152,0.0015512,0.0015512,0.0015512
70,856.796,0.56385,0.50127,1.96218,0.99295,1,0.995,0.88232,0.50241,0.41593,2.12914,0.0015446,0.0015446,0.0015446
71,867.981,0.63472,0.52107,2.26066,0.93517,1,0.99147,0.85277,0.61486,0.42234,2.09001,0.001538,0.001538,0.001538
72,879.899,0.67193,0.53104,2.27853,0.99535,1,0.995,0.86518,0.55988,0.34226,2.19585,0.0015314,0.0015314,0.0015314
73,891.755,0.71602,0.71643,2.21328,0.99407,1,0.995,0.85651,0.61379,0.38117,2.13711,0.0015248,0.0015248,0.0015248
74,903.742,0.67099,0.51208,2.34992,0.99583,1,0.995,0.83789,0.57562,0.38095,2.20119,0.0015182,0.0015182,0.0015182
75,914.968,0.68412,0.51774,2.24263,0.99533,1,0.995,0.86107,0.65026,0.38262,2.16694,0.0015116,0.0015116,0.0015116
76,927.083,0.71042,0.55509,2.28101,0.99446,1,0.995,0.88236,0.57098,0.34626,2.15396,0.001505,0.001505,0.001505
77,939.924,0.61433,0.44529,2.11779,0.9958,1,0.995,0.89157,0.55033,0.33598,2.18997,0.0014984,0.0014984,0.0014984
78,952.67,0.62809,0.47262,2.29996,0.99633,1,0.995,0.86118,0.6168,0.35106,2.10474,0.0014918,0.0014918,0.0014918
79,964.764,0.64145,0.49003,2.28894,0.99619,1,0.995,0.8937,0.492,0.32922,2.10995,0.0014852,0.0014852,0.0014852
80,976.912,0.58021,0.48387,2.13454,0.99638,1,0.995,0.8853,0.58049,0.37402,2.13605,0.0014786,0.0014786,0.0014786
81,988.459,0.60793,0.4661,2.12798,0.99654,1,0.995,0.86778,0.61524,0.36257,2.0864,0.001472,0.001472,0.001472
82,1000.49,0.60371,0.49327,2.2432,0.99647,1,0.995,0.8881,0.52417,0.32007,2.14115,0.0014654,0.0014654,0.0014654
83,1012.42,0.61814,0.49479,2.18929,0.99445,1,0.995,0.85624,0.5492,0.35944,2.09244,0.0014588,0.0014588,0.0014588
84,1024.67,0.62484,0.48174,2.23539,0.99468,1,0.995,0.8725,0.57954,0.38498,2.15344,0.0014522,0.0014522,0.0014522
85,1036.23,0.65598,0.48394,2.15462,0.99556,1,0.995,0.80711,0.63036,0.38966,2.1878,0.0014456,0.0014456,0.0014456
86,1048.44,0.60846,0.47486,2.10033,0.99597,1,0.995,0.87741,0.55758,0.3544,2.19453,0.001439,0.001439,0.001439
87,1060.98,0.60072,0.49938,2.2124,0.99545,1,0.995,0.90669,0.47632,0.32799,2.15343,0.0014324,0.0014324,0.0014324
88,1072.94,0.62245,0.49406,2.36376,0.99196,1,0.995,0.92586,0.48432,0.34335,2.21599,0.0014258,0.0014258,0.0014258
89,1084.66,0.69086,0.52876,2.27419,0.98817,1,0.995,0.87848,0.53474,0.40264,2.20258,0.0014192,0.0014192,0.0014192
90,1096.64,0.63549,0.50231,2.18989,0.99331,1,0.995,0.89848,0.49471,0.35394,2.11066,0.0014126,0.0014126,0.0014126
91,1109.99,0.72336,0.6505,2.29383,0.99602,1,0.995,0.89104,0.50328,0.3359,2.09,0.001406,0.001406,0.001406
92,1121.84,0.64982,0.47774,2.08375,0.99574,1,0.995,0.92138,0.48005,0.33012,2.1767,0.0013994,0.0013994,0.0013994
93,1133.68,0.54939,0.43191,2.1803,0.99636,1,0.995,0.90697,0.50102,0.33072,2.15007,0.0013928,0.0013928,0.0013928
94,1145.75,0.61107,0.72519,2.31189,0.99628,1,0.995,0.86457,0.56475,0.34304,2.11598,0.0013862,0.0013862,0.0013862
95,1157.91,0.72618,0.61316,2.32688,0.99424,1,0.995,0.8865,0.49243,0.33213,2.17223,0.0013796,0.0013796,0.0013796
96,1169.51,0.65398,0.53044,2.32819,0.99552,1,0.995,0.91767,0.47645,0.30816,2.17555,0.001373,0.001373,0.001373
97,1181.2,0.58065,0.44225,2.16858,0.98674,1,0.995,0.91525,0.48598,0.35725,2.10244,0.0013664,0.0013664,0.0013664
98,1193.57,0.64163,0.47574,2.0521,0.93761,1,0.96206,0.85105,0.56133,0.40041,2.07865,0.0013598,0.0013598,0.0013598
99,1205.15,0.59373,0.4623,2.18055,0.92305,0.9375,0.97113,0.82316,0.63187,0.47527,2.10982,0.0013532,0.0013532,0.0013532
100,1217.83,0.6487,0.50005,2.24197,0.93765,1,0.98029,0.83395,0.64219,0.43292,2.11064,0.0013466,0.0013466,0.0013466
101,1231.23,0.61833,0.48943,2.18702,0.96884,1,0.995,0.88355,0.50421,0.39525,2.15604,0.00134,0.00134,0.00134
102,1243.02,0.63924,0.47602,2.13446,0.99243,1,0.995,0.89669,0.55901,0.34145,2.07211,0.0013334,0.0013334,0.0013334
103,1254.8,0.57067,0.46073,2.15936,0.98783,1,0.995,0.87342,0.56655,0.36537,2.05553,0.0013268,0.0013268,0.0013268
104,1266.49,0.62383,0.50948,2.18161,0.98738,1,0.995,0.85815,0.51602,0.35096,2.07097,0.0013202,0.0013202,0.0013202
105,1278.85,0.57296,0.45876,2.02655,0.99331,1,0.995,0.83824,0.64394,0.36394,2.04197,0.0013136,0.0013136,0.0013136
106,1290.12,0.61514,0.47189,2.27744,0.98974,1,0.995,0.87056,0.58592,0.3709,2.09356,0.001307,0.001307,0.001307
107,1302.24,0.6047,0.48752,2.10284,0.99536,1,0.995,0.85405,0.55976,0.3658,2.11457,0.0013004,0.0013004,0.0013004
108,1314.12,0.55191,0.42866,2.18854,0.99165,1,0.995,0.89192,0.51688,0.34756,2.11536,0.0012938,0.0012938,0.0012938
109,1325.88,0.54292,0.96419,1.99623,0.99592,1,0.995,0.89653,0.45669,0.32095,2.09576,0.0012872,0.0012872,0.0012872
110,1337.52,0.56994,0.47872,2.24979,0.99907,1,0.995,0.87359,0.51535,0.34048,2.05182,0.0012806,0.0012806,0.0012806
